variant,backend,precision,threshold,f1,precision_metric,recall,true_positives,false_positives,false_negatives,total_detections
baseline,ONNX_Runtime,INT8,0.405,0.7021604938271603,0.5603448275862066,0.9400826446280982,910,714,58,1624
baseline,ONNX_Runtime,INT8,0.406,0.7035175879396982,0.5620753551575043,0.9400826446280982,910,709,58,1619
baseline,ONNX_Runtime,INT8,0.407,0.7037896365042534,0.5624227441285534,0.9400826446280982,910,708,58,1618
baseline,ONNX_Runtime,INT8,0.408,0.7036032545524988,0.5629262244265341,0.9380165289256188,908,705,60,1613
baseline,ONNX_Runtime,INT8,0.409,0.7047397047397045,0.5647571606475713,0.9369834710743792,907,699,61,1606
baseline,ONNX_Runtime,INT8,0.41,0.7056074766355138,0.5662499999999997,0.9359504132231397,906,694,62,1600
baseline,ONNX_Runtime,INT8,0.411,0.7072599531615923,0.5683814303638641,0.9359504132231397,906,688,62,1594
baseline,ONNX_Runtime,INT8,0.412,0.7100313479623822,0.5719696969696967,0.9359504132231397,906,678,62,1584
baseline,ONNX_Runtime,INT8,0.413,0.7103096824774595,0.572331017056222,0.9359504132231397,906,677,62,1583
baseline,ONNX_Runtime,INT8,0.414,0.7117046347211309,0.5741444866920149,0.9359504132231397,906,672,62,1578
baseline,ONNX_Runtime,INT8,0.415,0.7133858267716533,0.5763358778625951,0.9359504132231397,906,666,62,1572
baseline,ONNX_Runtime,INT8,0.416,0.714229404808829,0.5774378585086039,0.9359504132231397,906,663,62,1569
baseline,ONNX_Runtime,INT8,0.417,0.7150749802683501,0.5785440613026817,0.9359504132231397,906,660,62,1566
baseline,ONNX_Runtime,INT8,0.418,0.71563981042654,0.5792838874680304,0.9359504132231397,906,658,62,1564
baseline,ONNX_Runtime,INT8,0.419,0.7168316831683166,0.581245985870263,0.9349173553718998,905,652,63,1557
baseline,ONNX_Runtime,INT8,0.42,0.7177451369591105,0.5828497743391357,0.9338842975206602,904,647,64,1551
baseline,ONNX_Runtime,INT8,0.421,0.7195219123505974,0.5856031128404666,0.9328512396694204,903,639,65,1542
baseline,ONNX_Runtime,INT8,0.422,0.7218225419664266,0.5886571056062578,0.9328512396694204,903,631,65,1534
baseline,ONNX_Runtime,INT8,0.423,0.7221111555377846,0.5890410958904106,0.9328512396694204,903,630,65,1533
baseline,ONNX_Runtime,INT8,0.424,0.7241379310344825,0.5917431192660547,0.9328512396694204,903,623,65,1526
baseline,ONNX_Runtime,INT8,0.425,0.7241379310344825,0.5917431192660547,0.9328512396694204,903,623,65,1526
baseline,ONNX_Runtime,INT8,0.426,0.725663716814159,0.5942028985507243,0.9318181818181808,902,616,66,1518
baseline,ONNX_Runtime,INT8,0.427,0.7274929350020183,0.5970841616964874,0.9307851239669412,901,608,67,1509
baseline,ONNX_Runtime,INT8,0.428,0.7281553398058249,0.5984042553191485,0.9297520661157016,900,604,68,1504
baseline,ONNX_Runtime,INT8,0.429,0.7296311309282527,0.6004002668445627,0.9297520661157016,900,599,68,1499
baseline,ONNX_Runtime,INT8,0.43,0.7299270072992698,0.6008010680907874,0.9297520661157016,900,598,68,1498
baseline,ONNX_Runtime,INT8,0.431,0.7300813008130078,0.6018766756032168,0.927685950413222,898,594,70,1492
baseline,ONNX_Runtime,INT8,0.432,0.731568228105906,0.603900470746469,0.927685950413222,898,589,70,1487
baseline,ONNX_Runtime,INT8,0.433,0.733660130718954,0.6067567567567563,0.927685950413222,898,582,70,1480
baseline,ONNX_Runtime,INT8,0.434,0.7351616864510845,0.6088135593220335,0.927685950413222,898,577,70,1475
baseline,ONNX_Runtime,INT8,0.435,0.7355473554735544,0.6097892590074775,0.9266528925619824,897,574,71,1471
baseline,ONNX_Runtime,INT8,0.436,0.7370583401807721,0.6118690313778987,0.9266528925619824,897,569,71,1466
baseline,ONNX_Runtime,INT8,0.437,0.7388797364085664,0.6143835616438352,0.9266528925619824,897,563,71,1460
baseline,ONNX_Runtime,INT8,0.438,0.7398843930635836,0.6162310866574962,0.9256198347107428,896,558,72,1454
baseline,ONNX_Runtime,INT8,0.439,0.7411083540115795,0.6179310344827582,0.9256198347107428,896,554,72,1450
baseline,ONNX_Runtime,INT8,0.44,0.7417218543046354,0.61878453038674,0.9256198347107428,896,552,72,1448
baseline,ONNX_Runtime,INT8,0.441,0.7426440116038124,0.6200692041522488,0.9256198347107428,896,549,72,1445
baseline,ONNX_Runtime,INT8,0.442,0.7451143451143448,0.623521224773834,0.9256198347107428,896,541,72,1437
baseline,ONNX_Runtime,INT8,0.443,0.746977907461442,0.6261355695317955,0.9256198347107428,896,535,72,1431
baseline,ONNX_Runtime,INT8,0.444,0.7474916387959863,0.6278089887640446,0.9235537190082634,894,530,74,1424
baseline,ONNX_Runtime,INT8,0.445,0.7487437185929645,0.629577464788732,0.9235537190082634,894,526,74,1420
baseline,ONNX_Runtime,INT8,0.446,0.7499999999999997,0.6313559322033894,0.9235537190082634,894,522,74,1416
baseline,ONNX_Runtime,INT8,0.447,0.7515762925598989,0.63359319631467,0.9235537190082634,894,517,74,1411
baseline,ONNX_Runtime,INT8,0.448,0.7515762925598989,0.63359319631467,0.9235537190082634,894,517,74,1411
baseline,ONNX_Runtime,INT8,0.449,0.7525252525252523,0.6349431818181814,0.9235537190082634,894,514,74,1408
baseline,ONNX_Runtime,INT8,0.45,0.7534766118836912,0.6362989323843412,0.9235537190082634,894,511,74,1405
baseline,ONNX_Runtime,INT8,0.451,0.754860524091293,0.6387696709585118,0.9225206611570238,893,505,75,1398
baseline,ONNX_Runtime,INT8,0.452,0.7558188743123145,0.6401433691756269,0.9225206611570238,893,502,75,1395
baseline,ONNX_Runtime,INT8,0.453,0.7564591274883521,0.6410624551328065,0.9225206611570238,893,500,75,1393
baseline,ONNX_Runtime,INT8,0.454,0.7571004662992791,0.6419841840402584,0.9225206611570238,893,498,75,1391
baseline,ONNX_Runtime,INT8,0.455,0.758503401360544,0.6445086705202308,0.9214876033057842,892,492,76,1384
baseline,ONNX_Runtime,INT8,0.456,0.7597955706984665,0.6463768115942025,0.9214876033057842,892,488,76,1380
baseline,ONNX_Runtime,INT8,0.457,0.7610921501706481,0.648255813953488,0.9214876033057842,892,484,76,1376
baseline,ONNX_Runtime,INT8,0.458,0.7627191107310813,0.6506199854121075,0.9214876033057842,892,479,76,1371
baseline,ONNX_Runtime,INT8,0.459,0.7640256959314772,0.6525237746890998,0.9214876033057842,892,475,76,1367
baseline,ONNX_Runtime,INT8,0.46,0.7656652360515018,0.6549192364170333,0.9214876033057842,892,470,76,1362
baseline,ONNX_Runtime,INT8,0.461,0.7679724494188547,0.6583025830258298,0.9214876033057842,892,463,76,1355
baseline,ONNX_Runtime,INT8,0.462,0.7683031869078377,0.6587887740029538,0.9214876033057842,892,462,76,1354
baseline,ONNX_Runtime,INT8,0.463,0.7684346701164292,0.6595114729829751,0.9204545454545444,891,460,77,1351
baseline,ONNX_Runtime,INT8,0.464,0.7700950734658597,0.6619613670133725,0.9204545454545444,891,455,77,1346
baseline,ONNX_Runtime,INT8,0.465,0.7717626678215674,0.6644295302013419,0.9204545454545444,891,450,77,1341
baseline,ONNX_Runtime,INT8,0.466,0.7744458930899606,0.6684171042760686,0.9204545454545444,891,442,77,1333
baseline,ONNX_Runtime,INT8,0.467,0.7754569190600519,0.6699248120300747,0.9204545454545444,891,439,77,1330
baseline,ONNX_Runtime,INT8,0.468,0.7761324041811843,0.6709337349397586,0.9204545454545444,891,437,77,1328
baseline,ONNX_Runtime,INT8,0.469,0.7762756214566068,0.6716981132075467,0.9194214876033048,890,435,78,1325
baseline,ONNX_Runtime,INT8,0.47,0.7769532955041464,0.6727135298563865,0.9194214876033048,890,433,78,1323
baseline,ONNX_Runtime,INT8,0.471,0.7777777777777775,0.6745068285280724,0.9183884297520652,889,429,79,1318
baseline,ONNX_Runtime,INT8,0.472,0.7787998247919401,0.6760456273764254,0.9183884297520652,889,426,79,1315
baseline,ONNX_Runtime,INT8,0.473,0.7808519982433023,0.6791443850267375,0.9183884297520652,889,420,79,1309
baseline,ONNX_Runtime,INT8,0.474,0.7813462384513855,0.6804597701149421,0.9173553719008256,888,417,80,1305
baseline,ONNX_Runtime,INT8,0.475,0.782723666813574,0.6825518831667943,0.9173553719008256,888,413,80,1301
baseline,ONNX_Runtime,INT8,0.476,0.7832229580573948,0.6838858905165762,0.916322314049586,887,410,81,1297
baseline,ONNX_Runtime,INT8,0.477,0.7846085802742147,0.6860015467904094,0.916322314049586,887,406,81,1293
baseline,ONNX_Runtime,INT8,0.478,0.7859991138679661,0.6881303335919312,0.916322314049586,887,402,81,1289
baseline,ONNX_Runtime,INT8,0.479,0.7866962305986693,0.6891996891996887,0.916322314049586,887,400,81,1287
baseline,ONNX_Runtime,INT8,0.48,0.7879057358826141,0.6916471506635437,0.915289256198346,886,395,82,1281
baseline,ONNX_Runtime,INT8,0.481,0.7886070315976855,0.6927286942924155,0.915289256198346,886,393,82,1279
baseline,ONNX_Runtime,INT8,0.482,0.7886070315976855,0.6927286942924155,0.915289256198346,886,393,82,1279
baseline,ONNX_Runtime,INT8,0.483,0.7891217119928664,0.6941176470588231,0.9142561983471064,885,390,83,1275
baseline,ONNX_Runtime,INT8,0.484,0.7896382313532824,0.6955153422501962,0.9132231404958668,884,387,84,1271
baseline,ONNX_Runtime,INT8,0.485,0.7910514541387021,0.6977111286503547,0.9132231404958668,884,383,84,1267
baseline,ONNX_Runtime,INT8,0.486,0.7921146953405015,0.6993670886075944,0.9132231404958668,884,380,84,1264
baseline,ONNX_Runtime,INT8,0.487,0.792452830188679,0.7011128775834653,0.9111570247933874,882,376,86,1258
baseline,ONNX_Runtime,INT8,0.488,0.7936936936936934,0.7036741214057503,0.9101239669421478,881,371,87,1252
baseline,ONNX_Runtime,INT8,0.489,0.7942238267148011,0.7051282051282046,0.9090909090909082,880,368,88,1248
baseline,ONNX_Runtime,INT8,0.49,0.7945823927765234,0.7056936647955087,0.9090909090909082,880,367,88,1247
baseline,ONNX_Runtime,INT8,0.491,0.7956600361663649,0.7073954983922824,0.9090909090909082,880,364,88,1244
baseline,ONNX_Runtime,INT8,0.492,0.7974626189397369,0.710250201775625,0.9090909090909082,880,359,88,1239
baseline,ONNX_Runtime,INT8,0.493,0.7976406533575314,0.7111650485436888,0.9080578512396684,879,357,89,1236
baseline,ONNX_Runtime,INT8,0.494,0.7974568574023612,0.7115072933549428,0.9070247933884288,878,356,90,1234
baseline,ONNX_Runtime,INT8,0.495,0.7983614019116975,0.7135882831570377,0.9059917355371891,877,352,91,1229
baseline,ONNX_Runtime,INT8,0.496,0.798724954462659,0.7141693811074913,0.9059917355371891,877,351,91,1228
baseline,ONNX_Runtime,INT8,0.497,0.7992700729927004,0.7156862745098034,0.9049586776859496,876,348,92,1224
baseline,ONNX_Runtime,INT8,0.498,0.7992700729927004,0.7156862745098034,0.9049586776859496,876,348,92,1224
baseline,ONNX_Runtime,INT8,0.499,0.7985381452718133,0.7158067158067153,0.90289256198347,874,347,94,1221
baseline,ONNX_Runtime,INT8,0.5,0.7992684042066754,0.7169811320754712,0.90289256198347,874,345,94,1219
baseline,ONNX_Runtime,INT8,0.501,0.7996340347666968,0.7175697865353032,0.90289256198347,874,344,94,1218
baseline,ONNX_Runtime,INT8,0.502,0.7999999999999997,0.7181594083812649,0.90289256198347,874,343,94,1217
baseline,ONNX_Runtime,INT8,0.503,0.8022028453418997,0.7217175887696113,0.90289256198347,874,337,94,1211
baseline,ONNX_Runtime,INT8,0.504,0.8023897058823526,0.7226821192052975,0.9018595041322304,873,335,95,1208
baseline,ONNX_Runtime,INT8,0.505,0.802577082374597,0.7236514522821571,0.9008264462809908,872,333,96,1205
baseline,ONNX_Runtime,INT8,0.506,0.802395209580838,0.7240232751454692,0.8997933884297511,871,332,97,1203
baseline,ONNX_Runtime,INT8,0.507,0.8031350852927613,0.7252289758534549,0.8997933884297511,871,330,97,1201
baseline,ONNX_Runtime,INT8,0.508,0.8049907578558222,0.7282608695652169,0.8997933884297511,871,325,97,1196
baseline,ONNX_Runtime,INT8,0.509,0.8059286706808705,0.7304785894206544,0.8987603305785115,870,321,98,1191
baseline,ONNX_Runtime,INT8,0.51,0.8070500927643781,0.7323232323232317,0.8987603305785115,870,318,98,1188
baseline,ONNX_Runtime,INT8,0.511,0.8072457036692983,0.7333333333333327,0.8977272727272718,869,316,99,1185
baseline,ONNX_Runtime,INT8,0.512,0.8083720930232555,0.735194585448392,0.8977272727272718,869,313,99,1182
baseline,ONNX_Runtime,INT8,0.513,0.8106343283582086,0.7389455782312919,0.8977272727272718,869,307,99,1176
baseline,ONNX_Runtime,INT8,0.514,0.810457516339869,0.7393526405451443,0.8966942148760321,868,306,100,1174
baseline,ONNX_Runtime,INT8,0.515,0.8101028999064542,0.7401709401709397,0.8946280991735528,866,304,102,1170
baseline,ONNX_Runtime,INT8,0.516,0.8108614232209734,0.741438356164383,0.8946280991735528,866,302,102,1168
baseline,ONNX_Runtime,INT8,0.517,0.8112412177985945,0.742073693230505,0.8946280991735528,866,301,102,1167
baseline,ONNX_Runtime,INT8,0.518,0.8120018752930142,0.743347639484978,0.8946280991735528,866,299,102,1165
baseline,ONNX_Runtime,INT8,0.519,0.8125880695162044,0.7450473729543491,0.8935950413223132,865,296,103,1161
baseline,ONNX_Runtime,INT8,0.52,0.8127939793038567,0.7461139896373051,0.8925619834710734,864,294,104,1158
baseline,ONNX_Runtime,INT8,0.521,0.8139425341497877,0.7480519480519474,0.8925619834710734,864,291,104,1155
baseline,ONNX_Runtime,INT8,0.522,0.8145351580934399,0.7497827975673321,0.8915289256198338,863,288,105,1151
baseline,ONNX_Runtime,INT8,0.523,0.8139754485363547,0.7495652173913038,0.8904958677685941,862,288,106,1150
baseline,ONNX_Runtime,INT8,0.524,0.8153409090909087,0.752622377622377,0.8894628099173544,861,283,107,1144
baseline,ONNX_Runtime,INT8,0.525,0.816113744075829,0.7539404553415056,0.8894628099173544,861,281,107,1142
baseline,ONNX_Runtime,INT8,0.526,0.815939278937381,0.75438596491228,0.8884297520661147,860,280,108,1140
baseline,ONNX_Runtime,INT8,0.527,0.8163265306122446,0.7550482879719046,0.8884297520661147,860,279,108,1139
baseline,ONNX_Runtime,INT8,0.528,0.816714150047483,0.7557117750439362,0.8884297520661147,860,278,108,1138
baseline,ONNX_Runtime,INT8,0.529,0.8178792201616735,0.7577092511013209,0.8884297520661147,860,275,108,1135
baseline,ONNX_Runtime,INT8,0.53,0.8184849928537395,0.7595048629531382,0.8873966942148751,859,272,109,1131
baseline,ONNX_Runtime,INT8,0.531,0.8192656175488789,0.7608503100088568,0.8873966942148751,859,270,109,1129
baseline,ONNX_Runtime,INT8,0.532,0.8196564885496179,0.7615248226950349,0.8873966942148751,859,269,109,1128
baseline,ONNX_Runtime,INT8,0.533,0.821052631578947,0.7647058823529406,0.8863636363636355,858,264,110,1122
baseline,ONNX_Runtime,INT8,0.534,0.8222328701485382,0.7667560321715812,0.8863636363636355,858,261,110,1119
baseline,ONNX_Runtime,INT8,0.535,0.8220623501199037,0.7672336615935536,0.8853305785123957,857,260,111,1117
baseline,ONNX_Runtime,INT8,0.536,0.8213256484149852,0.7675044883303405,0.8832644628099164,855,259,113,1114
baseline,ONNX_Runtime,INT8,0.537,0.8217203267659775,0.7681940700808619,0.8832644628099164,855,258,113,1113
baseline,ONNX_Runtime,INT8,0.538,0.8215488215488211,0.768676867686768,0.8822314049586768,854,257,114,1111
